Address,Lat,Long,Type,Bed,Bath,Parking,Bond,Price
"Carpark/80 A'beckett Street, Melbourne VIC 3000",-37.8089554,144.96113782891808,Apartment/Unit/Flat,0,0,1,261.0,60.0
"708/547 Flinders Lane, Melbourne VIC 3000",-37.8199289,144.9557972,Apartment/Unit/Flat,1,1,0,,550.0
"1604/380 Little Lonsdale Street, Melbourne VIC 3000",-37.8122724,144.9581821,Apartment/Unit/Flat,2,1,0,2607.0,600.0
"131/283 Spring Street, Melbourne VIC 3000",-37.81251440488103,144.9735271535764,Apartment/Unit/Flat,2,1,0,,700.0
"1202/228 Abeckett Street, Melbourne VIC 3000",-38.116467163929414,145.14913753991942,Apartment/Unit/Flat,1,1,0,,550.0
"1411/8 Downie Street, Melbourne VIC 3000",-37.82027949642561,144.95574541463634,Apartment/Unit/Flat,3,2,0,,850.0
"1211/31 A'Beckett Street, Melbourne VIC 3000",-37.8089059,144.9626152,Apartment/Unit/Flat,1,1,0,2260.0,520.0
"1606/28 Wills Street, Melbourne VIC 3000",-37.81064318298057,144.95719910387135,Apartment/Unit/Flat,2,2,1,3259.0,750.0
"6411/370 Queen Street, Melbourne VIC 3000",-37.8101413,144.9588426,Apartment/Unit/Flat,1,1,0,2955.0,680.0
"4301/33 Rose Lane, Melbourne VIC 3000",-37.81519729340948,144.9541415642111,Apartment/Unit/Flat,1,1,0,2608.0,600.0
"4603/483 Swanston Street, Melbourne VIC 3000",-37.8072155,144.962489,Apartment/Unit/Flat,2,1,0,3259.0,750.0
"111/243 Franklin Street, Melbourne VIC 3000",-37.8096786,144.95679070779016,Studio,1,1,0,2173.0,500.0
"405/68 Hayward Lane, Melbourne VIC 3000",-37.810200502588565,144.96736536154143,Apartment/Unit/Flat,1,1,0,1782.0,410.0
"1505/243 Franklin Street, Melbourne VIC 3000",-37.8096786,144.95679070779016,Apartment/Unit/Flat,2,1,0,,620.0
"3301/120 Abeckett Street, Melbourne VIC 3000",-38.116467163929414,145.14913753991942,Apartment/Unit/Flat,1,1,0,2607.0,600.0
"1116/43 Therry Street, Melbourne VIC 3000",-37.807395832826614,144.95893747307127,Apartment/Unit/Flat,1,1,0,2151.0,495.0
"6310/462 Elizabeth Street, Melbourne VIC 3000",-37.803263722458475,144.9581722024521,Apartment/Unit/Flat,2,2,1,,850.0
"1304/181 ABeckett Street, Melbourne VIC 3000",-38.116467163929414,145.14913753991942,Studio,1,1,0,,460.0
"2606/27 Therry Street, Melbourne VIC 3000",-37.8070736,144.9610150513281,Apartment/Unit/Flat,2,2,0,3694.0,850.0
"2312/618 Lonsdale Street, Melbourne VIC 3000",-37.81042007493952,144.968416157676,Apartment/Unit/Flat,2,1,1,,770.0
"55C Dudley Street, Melbourne VIC 3000",-37.808540161677456,144.9551471668214,Apartment/Unit/Flat,1,1,0,2825.0,650.0
"55B Dudley Street, Melbourne VIC 3000",-37.808540161677456,144.9551471668214,Apartment/Unit/Flat,2,2,0,3476.0,800.0
"4006/220 Spencer Street, Melbourne VIC 3000",-37.8156633,144.953010011169,Studio,0,1,0,2173.0,500.0
"55 Dudley Street, Melbourne VIC 3000",-37.808540161677456,144.9551471668214,Apartment/Unit/Flat,2,1,0,3303.0,760.0
"2505/31 A'Beckett Street, Melbourne VIC 3000",-37.8089059,144.9626152,Apartment/Unit/Flat,2,1,0,2607.0,600.0
"2509/371 Little Lonsdale Street, Melbourne VIC 3000",-37.8117993,144.9610534,Apartment/Unit/Flat,2,2,0,5520.0,920.0
"9/44 Chetwynd Street, Melbourne VIC 3000",-37.80784979046254,144.9518876721077,Apartment/Unit/Flat,2,1,1,2607.0,600.0
"509/181 ABeckett Street, Melbourne VIC 3000",-38.116467163929414,145.14913753991942,Studio,1,1,0,,460.0
